Time_Index,NG,None,coal,uranium
176,2.03,0.00,2.47,0.70
177,2.03,0.00,2.47,0.70
178,2.03,0.00,2.47,0.70
179,2.03,0.00,2.47,0.70
180,2.03,0.00,2.47,0.70
181,2.03,0.00,2.47,0.70
182,2.03,0.00,2.47,0.70
183,2.03,0.00,2.47,0.70
184,2.03,0.00,2.47,0.70
185,2.03,0.00,2.47,0.70
186,2.03,0.00,2.47,0.70
187,2.03,0.00,2.47,0.70
188,2.03,0.00,2.47,0.70
189,2.03,0.00,2.47,0.70
190,2.03,0.00,2.47,0.70
191,2.03,0.00,2.47,0.70
192,2.03,0.00,2.47,0.70
193,2.03,0.00,2.47,0.70
194,2.03,0.00,2.47,0.70
195,2.03,0.00,2.47,0.70
196,2.03,0.00,2.47,0.70
197,2.03,0.00,2.47,0.70
198,2.03,0.00,2.47,0.70
199,2.03,0.00,2.47,0.70
200,2.03,0.00,2.47,0.70
201,2.03,0.00,2.47,0.70
202,2.03,0.00,2.47,0.70
203,2.03,0.00,2.47,0.70
204,2.03,0.00,2.47,0.70
205,2.03,0.00,2.47,0.70
206,2.03,0.00,2.47,0.70
207,2.03,0.00,2.47,0.70
208,2.03,0.00,2.47,0.70
209,2.03,0.00,2.47,0.70
210,2.03,0.00,2.47,0.70
211,2.03,0.00,2.47,0.70
212,2.03,0.00,2.47,0.70
213,2.03,0.00,2.47,0.70
214,2.03,0.00,2.47,0.70
215,2.03,0.00,2.47,0.70
216,2.03,0.00,2.47,0.70
217,2.03,0.00,2.47,0.70
218,2.03,0.00,2.47,0.70
219,2.03,0.00,2.47,0.70
220,2.03,0.00,2.47,0.70
221,2.03,0.00,2.47,0.70
222,2.03,0.00,2.47,0.70
223,2.03,0.00,2.47,0.70
224,2.03,0.00,2.47,0.70
225,2.03,0.00,2.47,0.70
226,2.03,0.00,2.47,0.70
227,2.03,0.00,2.47,0.70
228,2.03,0.00,2.47,0.70
229,2.03,0.00,2.47,0.70
230,2.03,0.00,2.47,0.70
231,2.03,0.00,2.47,0.70
232,2.03,0.00,2.47,0.70
233,2.03,0.00,2.47,0.70
234,2.03,0.00,2.47,0.70
235,2.03,0.00,2.47,0.70
236,2.03,0.00,2.47,0.70
237,2.03,0.00,2.47,0.70
238,2.03,0.00,2.47,0.70
239,2.03,0.00,2.47,0.70
240,2.03,0.00,2.47,0.70
241,2.03,0.00,2.47,0.70
242,2.03,0.00,2.47,0.70
243,2.03,0.00,2.47,0.70
244,2.03,0.00,2.47,0.70
245,2.03,0.00,2.47,0.70
246,2.03,0.00,2.47,0.70
247,2.03,0.00,2.47,0.70
248,2.03,0.00,2.47,0.70
249,2.03,0.00,2.47,0.70
250,2.03,0.00,2.47,0.70
251,2.03,0.00,2.47,0.70
252,2.03,0.00,2.47,0.70
253,2.03,0.00,2.47,0.70
254,2.03,0.00,2.47,0.70
255,2.03,0.00,2.47,0.70
256,2.03,0.00,2.47,0.70
257,2.03,0.00,2.47,0.70
258,2.03,0.00,2.47,0.70
259,2.03,0.00,2.47,0.70
260,2.03,0.00,2.47,0.70
261,2.03,0.00,2.47,0.70
262,2.03,0.00,2.47,0.70
263,2.03,0.00,2.47,0.70
264,2.03,0.00,2.47,0.70
265,2.03,0.00,2.47,0.70
266,2.03,0.00,2.47,0.70
267,2.03,0.00,2.47,0.70
268,2.03,0.00,2.47,0.70
269,2.03,0.00,2.47,0.70
270,2.03,0.00,2.47,0.70
271,2.03,0.00,2.47,0.70
272,2.03,0.00,2.47,0.70
273,2.03,0.00,2.47,0.70
274,2.03,0.00,2.47,0.70
275,2.03,0.00,2.47,0.70
276,2.03,0.00,2.47,0.70
277,2.03,0.00,2.47,0.70
278,2.03,0.00,2.47,0.70
279,2.03,0.00,2.47,0.70
280,2.03,0.00,2.47,0.70
281,2.03,0.00,2.47,0.70
282,2.03,0.00,2.47,0.70
283,2.03,0.00,2.47,0.70
284,2.03,0.00,2.47,0.70
285,2.03,0.00,2.47,0.70
286,2.03,0.00,2.47,0.70
287,2.03,0.00,2.47,0.70
288,2.03,0.00,2.47,0.70
289,2.03,0.00,2.47,0.70
290,2.03,0.00,2.47,0.70
291,2.03,0.00,2.47,0.70
292,2.03,0.00,2.47,0.70
293,2.03,0.00,2.47,0.70
294,2.03,0.00,2.47,0.70
295,2.03,0.00,2.47,0.70
296,2.03,0.00,2.47,0.70
297,2.03,0.00,2.47,0.70
298,2.03,0.00,2.47,0.70
299,2.03,0.00,2.47,0.70
300,2.03,0.00,2.47,0.70
301,2.03,0.00,2.47,0.70
302,2.03,0.00,2.47,0.70
303,2.03,0.00,2.47,0.70
304,2.03,0.00,2.47,0.70
305,2.03,0.00,2.47,0.70
306,2.03,0.00,2.47,0.70
307,2.03,0.00,2.47,0.70
308,2.03,0.00,2.47,0.70
309,2.03,0.00,2.47,0.70
310,2.03,0.00,2.47,0.70
311,2.03,0.00,2.47,0.70
312,2.03,0.00,2.47,0.70
313,2.03,0.00,2.47,0.70
314,2.03,0.00,2.47,0.70
315,2.03,0.00,2.47,0.70
316,2.03,0.00,2.47,0.70
317,2.03,0.00,2.47,0.70
318,2.03,0.00,2.47,0.70
319,2.03,0.00,2.47,0.70
320,2.03,0.00,2.47,0.70
321,2.03,0.00,2.47,0.70
322,2.03,0.00,2.47,0.70
323,2.03,0.00,2.47,0.70
324,2.03,0.00,2.47,0.70
325,2.03,0.00,2.47,0.70
326,2.03,0.00,2.47,0.70
327,2.03,0.00,2.47,0.70
328,2.03,0.00,2.47,0.70
329,2.03,0.00,2.47,0.70
