Case,dir_name
1,Deterministic_Fixed_Annual_C8_2006
2,Deterministic_Fixed_Annual_C8_2000
3,Deterministic_Fixed_Annual_C8_1993
4,Deterministic_Fixed_Annual_C8_1989
5,Deterministic_Fixed_Annual_C8_2012
6,Deterministic_Fixed_Annual_C8_2003
7,Deterministic_Fixed_Annual_C8_1999
8,Deterministic_Fixed_Annual_C8_1998
9,Deterministic_Fixed_Annual_C8_1982
10,Deterministic_Fixed_Annual_C8_2018
