Case,dir_name
1,Deterministic_Fixed_Annual_C1_1998
2,Deterministic_Fixed_Annual_C1_1999
3,Deterministic_Fixed_Annual_C1_2003
4,Deterministic_Fixed_Annual_C1_2018
5,Deterministic_Fixed_Annual_C1_1982
6,Deterministic_Fixed_Annual_C1_1993
7,Deterministic_Fixed_Annual_C1_2000
8,Deterministic_Fixed_Annual_C1_2006
9,Deterministic_Fixed_Annual_C1_2012
10,Deterministic_Fixed_Annual_C1_1989
