Unnamed: 0.1,Unnamed: 0,index,region,technology,Existing_Cap_MW,Cap_Size,CapRes_1,CES,cluster,Commit,Down_Time,DR,Eff_Down,Eff_Up,ESR_1,H2_TMR_1,Existing_Cap_MWh,Existing_Charge_Cap_MW,Fixed_OM_Cost_Charge_per_MWyr,Fixed_OM_Cost_per_MWhyr,Old_Fixed_OM_Cost_per_MWyr,Fixed_OM_Cost_per_MWyr,Fuel,heat_rate_mmbtu_mwh_iqr,heat_rate_mmbtu_mwh_std,Heat_Rate_MMBTU_per_MWh,HYDRO,Hydro_Energy_to_Power_Ratio,Hydro_level,Inv_Cost_Charge_per_MWyr,Inv_Cost_per_MWhyr,Inv_Cost_per_MWyr,LDS,Max_Cap_MW,Max_Cap_MWh,Max_Charge_Cap_MW,Max_Duration,MinCapTag_1,Min_Cap_MW,Min_Cap_MWh,Min_Charge_Cap_MW,Min_Duration,Min_Power,MUST_RUN,New_Build,num_units,Num_VRE_Bins,plant_id_eia,Ramp_Dn_Percentage,Ramp_Up_Percentage,Reg_Cost,Resource,RPS,Rsv_Cost,Self_Disch,Start_Cost_per_MW,Start_Fuel_MMBTU_per_MW,STOR,THERM,unit_id_pudl,Up_Time,Old_Var_OM_Cost_per_MWh,Var_OM_Cost_per_MWh,Var_OM_Cost_per_MWh_In,VRE,Zone,FLEX,CCS_Rate
10,14,17,TX,Natural Gas Fired Combined Cycle,8056.0,735.47,0.93,0,9,1,6,0,1.0,1.0,0,0,0.0,0,0,0,11965.0,12682.9,NG,0.12,0.08,7.19,0,0.0,0.0,0,0,0.0,0,-1,-1,-1,0,0,0,0,0,0.0,0.45,0,-1,14,0,"[10554.0, 55097.0, 55097.0, 55153.0, 55215.0, 55215.0, 55226.0, 55226.0, 55230.0, 55480.0, 55480.0, 58001.0, 58001.0, 59812.0]",0.64,0.64,0,natural_gas_fired_combined_cycle_6,0,0,0,89,2.0,0,1,"[1.0, 1.0, 2.0, 1.0, 1.0, 2.0, 1.0, 2.0, 2.0, 1.0, 2.0, 1.0, 2.0, 1.0]",6,3.45,3.66,0,0,1,0,0
11,15,18,TX,Natural Gas Fired Combined Cycle,532.0,266.1,0.93,0,10,1,6,0,1.0,1.0,0,0,0.0,0,0,0,9496.0,10065.76,NG,0.02,0.03,8.62,0,0.0,0.0,0,0,0.0,0,-1,-1,-1,0,0,0,0,0,0.0,0.63,0,-1,2,0,"[56349.0, 56349.0]",0.64,0.64,0,natural_gas_fired_combined_cycle_7,0,0,0,89,2.0,0,1,"[1.0, 2.0]",6,3.5,3.71,0,0,1,0,0
12,16,19,TX,Natural Gas Fired Combined Cycle,237.0,118.5,0.93,0,11,1,6,0,1.0,1.0,0,0,0.0,0,0,0,16001.0,16961.06,NG,0.23,0.32,10.76,0,0.0,0.0,0,0,0.0,0,-1,-1,-1,0,0,0,0,0,0.0,0.46,0,-1,2,0,"[3559.0, 50150.0]",0.64,0.64,0,natural_gas_fired_combined_cycle_8,0,0,0,89,2.0,0,1,"[2.0, 1.0]",6,4.42,4.68,0,0,1,0,0
13,17,20,TX,Natural Gas Fired Combined Cycle,1188.0,1188.0,0.93,0,12,1,6,0,1.0,1.0,0,0,0.0,0,0,0,11965.0,12682.9,NG,0.0,0.0,10.7,0,0.0,0.0,0,0,0.0,0,-1,-1,-1,0,0,0,0,0,0.0,0.46,0,-1,1,0,[55464.0],0.64,0.64,0,natural_gas_fired_combined_cycle_9,0,0,0,89,2.0,0,1,[1.0],6,3.45,3.66,0,0,1,0,0
14,18,21,TX,Natural Gas Fired Combined Cycle,1026.0,342.0,0.93,0,13,1,6,0,1.0,1.0,0,0,0.0,0,0,0,16001.0,16961.06,NG,0.08,0.08,9.77,0,0.0,0.0,0,0,0.0,0,-1,-1,-1,0,0,0,0,0,0.0,0.23,0,-1,3,0,"[3631.0, 55206.0, 55313.0]",0.64,0.64,0,natural_gas_fired_combined_cycle_10,0,0,0,89,2.0,0,1,"[2.0, 1.0, 1.0]",6,4.42,4.68,0,0,1,0,0
15,19,22,TX,Natural Gas Fired Combined Cycle,7481.0,680.09,0.93,0,14,1,6,0,1.0,1.0,0,0,0.0,0,0,0,9496.0,10065.76,NG,0.29,0.17,7.7,0,0.0,0.0,0,0,0.0,0,-1,-1,-1,0,0,0,0,0,0.0,0.44,0,-1,11,0,"[3441.0, 4939.0, 55047.0, 55047.0, 55132.0, 55139.0, 55144.0, 55320.0, 55327.0, 55545.0, 56806.0]",0.64,0.64,0,natural_gas_fired_combined_cycle_11,0,0,0,89,2.0,0,1,"[1.0, 2.0, 1.0, 2.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]",6,3.5,3.71,0,0,1,0,0
16,20,25,TX,Natural Gas Fired Combined Cycle,824.0,824.0,0.93,0,15,1,6,0,1.0,1.0,0,0,0.0,0,0,0,9496.0,10065.76,NG,0.0,0.0,9.44,0,0.0,0.0,0,0,0.0,0,-1,-1,-1,0,0,0,0,0,0.0,0.53,0,-1,1,0,[55299.0],0.64,0.64,0,natural_gas_fired_combined_cycle_12,0,0,0,89,2.0,0,1,[1.0],6,3.5,3.71,0,0,1,0,0
17,22,28,TX,Natural Gas Fired Combustion Turbine,1073.0,57.34,0.93,0,2,1,1,0,1.0,1.0,0,0,0.0,0,0,0,11141.0,11809.46,NG,0.03,0.08,9.72,0,0.0,0.0,0,0,0.0,0,-1,-1,-1,0,0,0,0,0,0.0,0.3,0,-1,19,0,"[3439.0, 3439.0, 7900.0, 7900.0, 7900.0, 7900.0, 7900.0, 7900.0, 10154.0, 10154.0, 10154.0, 50304.0, 50304.0, 64383.0, 64383.0, 64383.0, 64383.0, 64383.0, 64383.0]",1.0,1.0,0,natural_gas_fired_combustion_turbine,0,0,0,116,3.5,0,1,"['3439_4', '3439_5', '7900_SH1', '7900_SH2', '7900_SH3', '7900_SH4', '7900_SH6', '7900_SH7', '10154.0_GEN1', '10154.0_GEN2', '10154.0_GEN3', '50304.0_GEN4', '50304.0_GEN5', '64383.0_CTG-1', '64383.0_CTG-2', '64383.0_CTG-3', '64383.0_CTG-4', '64383.0_CTG-5', '64383.0_CTG-6']",1,5.07,5.38,0,0,1,0,0
18,28,36,TX,Natural Gas Fired Combustion Turbine,557.0,46.42,0.93,0,8,1,1,0,1.0,1.0,0,0,0.0,0,0,0,11141.0,11809.46,NG,0.54,0.26,10.78,0,0.0,0.0,0,0,0.0,0,-1,-1,-1,0,0,0,0,0,0.0,0.38,0,-1,12,0,"[3609.0, 3609.0, 3609.0, 3609.0, 3612.0, 3612.0, 3612.0, 3612.0, 56674.0, 56674.0, 56674.0, 56674.0]",1.0,1.0,0,natural_gas_fired_combustion_turbine_1,0,0,0,116,3.5,0,1,"['3609_CGT1', '3609_CGT2', '3609_CGT3', '3609_CGT4', '3612_5', '3612_6', '3612_7', '3612_8', '56674_CGT1', '56674_CGT2', '56674_CGT3', '56674_CGT4']",1,5.07,5.38,0,0,1,0,0
19,35,43,TX,Natural Gas Fired Combustion Turbine,276.0,46.03,0.93,0,15,1,1,0,1.0,1.0,0,0,0.0,0,0,0,13548.0,14360.88,NG,0.26,0.16,10.64,0,0.0,0.0,0,0,0.0,0,-1,-1,-1,0,0,0,0,0,0.0,0.55,0,-1,6,0,"[6243.0, 6243.0, 60459.0, 60459.0, 60460.0, 60460.0]",1.0,1.0,0,natural_gas_fired_combustion_turbine_2,0,0,0,116,3.5,0,1,"['6243_2', '6243_3', '60459_PC1', '60459_PC2', '60460_CH1', '60460_CH2']",1,5.07,5.38,0,0,1,0,0
