Case,dir_name
1,Deterministic_Fixed_Annual_C7_2018
2,Deterministic_Fixed_Annual_C7_1982
3,Deterministic_Fixed_Annual_C7_1999
4,Deterministic_Fixed_Annual_C7_1998
5,Deterministic_Fixed_Annual_C7_2003
6,Deterministic_Fixed_Annual_C7_2012
7,Deterministic_Fixed_Annual_C7_1989
8,Deterministic_Fixed_Annual_C7_1993
9,Deterministic_Fixed_Annual_C7_2006
10,Deterministic_Fixed_Annual_C7_2000
