Case,dir_name
1,Deterministic_Fixed_Annual_C0_2003
2,Deterministic_Fixed_Annual_C0_1999
3,Deterministic_Fixed_Annual_C0_1998
4,Deterministic_Fixed_Annual_C0_1982
5,Deterministic_Fixed_Annual_C0_2018
6,Deterministic_Fixed_Annual_C0_2006
7,Deterministic_Fixed_Annual_C0_2000
8,Deterministic_Fixed_Annual_C0_1993
9,Deterministic_Fixed_Annual_C0_1989
10,Deterministic_Fixed_Annual_C0_2012
